====== IBR Alert Summary ======

=== Alerts by Rule (SID) ===
82971353 29456	PROTOCOL-ICMP Unusual PING detected
82937462 384	PROTOCOL-ICMP PING
19551667 381	PROTOCOL-ICMP PING Oracle Solaris
4638101 408	PROTOCOL-ICMP Echo Reply
1898716 483	PROTOCOL-ICMP PING CyberKit 2.2 Windows
1754062 366	PROTOCOL-ICMP PING Unix
 976507 48333	PROTOCOL-VOIP Known SIP scanner User-Agent detected
 976507 48331	PROTOCOL-VOIP Known SIP scanner User-Agent detected
 971064 45578	PROTOCOL-VOIP Mr.SIP options request denial of service attempt
 626521 40063	OS-LINUX Linux Kernel Challenge ACK provocation attempt
 310033 1417	PROTOCOL-SNMP request udp
 283277 28993	PROTOCOL-VOIP Sipvicious User-Agent detected
 240619 1411	PROTOCOL-SNMP public access udp
 186910 1917	INDICATOR-SCAN UPnP service discover attempt
 176050 1616	PROTOCOL-DNS named version attempt
 154661 385	PROTOCOL-ICMP traceroute
 132261 12006	PROTOCOL-VOIP Outbound INVITE message
 132243 11968	PROTOCOL-VOIP inbound INVITE message
 102642 402	PROTOCOL-ICMP destination unreachable port unreachable packet detected
  99426 2049	SQL ping attempt
  89376 24378	POLICY-OTHER TCP packet with urgent flag attempt
  87358 51066	POLICY-OTHER TCP SYN packet and URG set attempt
  86885 1444	PROTOCOL-TFTP Get
  75978 51065	POLICY-OTHER TCP FIN packet and URG set attempt
  75610 42785	INDICATOR-SCAN DNS version.bind string information disclosure attempt
  70196 1280	PROTOCOL-RPC portmap listing UDP 111
  62214 17110	APP-DETECT VxWorks remote debugging agent login attempt
  59095 62808	SERVER-WEBAPP Zyxel unauthenticated IKEv2 overflow attempt
  59095 61865	SERVER-WEBAPP Zyxel unauthenticated IKEv2 command injection attempt
  54115 1418	PROTOCOL-SNMP request tcp
  53279 520	PROTOCOL-TFTP root directory
  49071 42016	PROTOCOL-SCADA Moxa discovery packet information disclosure attempt
  39447 1867	X11 xdmcp info query
  38466 566	APP-DETECT PCAnywhere server response
  34208 368	PROTOCOL-ICMP PING BSDtype
  30088 1420	PROTOCOL-SNMP trap tcp
  19919 64473	SERVER-OTHER Plex Media Server SSDP information disclosure attempt
  18932 28556	PROTOCOL-DNS DNS query amplification attempt
  18264 59651	SERVER-OTHER Strong Swan OpenSSL plugin ISAKMP denial of service attempt
  17559 1419	PROTOCOL-SNMP trap udp
  14922 43755	SERVER-OTHER FreeBSD Routing Information Protocol assertion failure attempt
  13468 1421	PROTOCOL-SNMP AgentX/tcp request
  12551 58853	SERVER-OTHER RealTek UDPServer command injection attempt
   9509 11263	SERVER-APACHE Apache mod_ssl non-SSL connection to SSL port denial of service attempt
   8921 399	PROTOCOL-ICMP Destination Unreachable Host Unreachable
   8484 37545	POLICY-OTHER Netcore/Netis firmware hard-coded backdoor account access attempt
   8366 2339	PROTOCOL-TFTP NULL command attempt
   5299 39993	SERVER-OTHER Netcore router backdoor access attempt
   4964 43687	INDICATOR-COMPROMISE Suspicious .top dns query
   4904 449	PROTOCOL-ICMP Time-To-Live Exceeded in Transit
   4681 382	PROTOCOL-ICMP PING Windows
   4595 16282	PUA-P2P Bittorrent uTP peer request
   3287 396	PROTOCOL-ICMP Destination Unreachable Fragmentation Needed and DF bit was set
   2535 3626	PROTOCOL-ICMP PATH MTU denial of service attempt
   2499 1504	POLICY-OTHER AFS access
   2359 28557	PROTOCOL-DNS Malformed DNS query with HTTP content
   2277 31136	MALWARE-CNC Win.Trojan.ZeroAccess inbound connection
   2277 23493	MALWARE-CNC Win.Trojan.ZeroAccess outbound connection
   2066 404	PROTOCOL-ICMP Destination Unreachable Protocol Unreachable
   1936 31767	SERVER-OTHER MRLG fastping echo reply memory corruption attempt
   1508 51744	PROTOCOL-VOIP SIP Torture request missing Call-ID header attempt
   1508 51509	PROTOCOL-VOIP SIP Torture missing From header field attempt
   1508 51508	PROTOCOL-VOIP SIP Torture missing To header field attempt
   1247 51000	PROTOCOL-DNS PowerDNS Recursor query denial of service attempt
   1237 36650	PROTOCOL-ICMP Squid Pinger IPv6 denial of service attempt
   1055 27899	PROTOCOL-VOIP Possible SIP OPTIONS service information gathering attempt
   1031 12065	POLICY-OTHER Outbound Teredo traffic detected
    908 453	PROTOCOL-ICMP Timestamp Request
    803 15302	SERVER-MAIL Microsoft Windows Exchange System Attendant denial of service attempt
    682 1413	PROTOCOL-SNMP private access udp
    663 18473	PROTOCOL-ICMP ICMPv6 Echo Reply
    661 28165	PROTOCOL-VOIP attempted DOS detected
    647 476	PROTOCOL-ICMP webtrends scanner
    531 16350	SERVER-OTHER ntp mode 7 denial of service attempt
    364 634	INDICATOR-SCAN Amanda client-version request
    358 11265	SERVER-OTHER Sentinel license manager buffer overflow attempt
    322 45577	PROTOCOL-VOIP Mr.SIP invite request denial of service attempt
    320 401	PROTOCOL-ICMP Destination Unreachable Network Unreachable
    307 18474	PROTOCOL-ICMP ICMPv6 Echo Request
    291 4990	SERVER-MSSQL heap-based overflow attempt
    283 480	PROTOCOL-ICMP PING speedera
    283 44487	POLICY-OTHER SMBv1 protocol detection attempt
    283 44485	POLICY-OTHER SMBv1 protocol detection attempt
    264 1390	INDICATOR-SHELLCODE x86 inc ebx NOOP
    253 44489	POLICY-OTHER SMBv1 protocol detection attempt
    248 388	PROTOCOL-ICMP Address Mask Request
    215 43602	SERVER-OTHER Wireshark ENTTEC DMX RLE buffer overflow attempt
    210 20216	PROTOCOL-SCADA Beckhoff TwinCAT DoS
    173 11990	PROTOCOL-VOIP Contact header format string attempt
    173 11987	PROTOCOL-VOIP Via header format string attempt
    167 46373	PROTOCOL-OTHER CLDAP potential reflected distributed denial of service attempt
    154 44488	POLICY-OTHER SMBv1 protocol detection attempt
    154 44486	POLICY-OTHER SMBv1 protocol detection attempt
    154 44484	POLICY-OTHER SMBv1 protocol detection attempt
    152 5897	MALWARE-TOOLS Hacker-Tool timbuktu pro runtime detection - udp port 407
    146 365	PROTOCOL-ICMP PING undefined code
    146 2181	PUA-P2P BitTorrent transfer
    143 4989	SERVER-MSSQL heap-based overflow attempt
    138 474	PROTOCOL-ICMP superscan echo
    133 65062	SERVER-OTHER ntpd for Windows getEndptFromIoCtx denial of service attempt
    124 38381	BROWSER-OTHER HTTP characters prior to header evasion attempt
    117 61578	PROTOCOL-VOIP Known Sip Scan User-Agent detected
    117 61577	PROTOCOL-VOIP Known Sip Scan User-Agent detected
    100 2921	PROTOCOL-DNS UDP inverse query
     83 41186	POLICY-OTHER SunRPC Portmap GETPORT request detected
     80 36651	PROTOCOL-ICMP Squid Pinger IPv6 denial of service attempt
     59 2329	SERVER-MSSQL probe response overflow attempt
     46 613	INDICATOR-SCAN myscan
     44 373	PROTOCOL-ICMP PING Flowpoint2200 or Network Management Software
     29 36376	SERVER-OTHER IBM Tivoli Management Framework lcfd endpoint daemon buffer overflow attempt
     29 17294	OS-WINDOWS Microsoft Windows NAT Helper DNS query denial of service attempt
     28 369	PROTOCOL-ICMP PING BayRS Router
     26 409	PROTOCOL-ICMP Echo Reply undefined code
     24 1892	PROTOCOL-SNMP null community string attempt
     23 48330	PROTOCOL-VOIP Known SIP scanner User-Agent detected
     23 48326	PROTOCOL-VOIP Known SIP scanner User-Agent detected
     22 4140	SERVER-OTHER tcpdump tcp LDP print zero length message denial of service attempt
     21 324	PROTOCOL-FINGER null request
     21 1918	PROTOCOL-ICMP SolarWinds IP scan attempt
     20 2113	PROTOCOL-SERVICES rexec username overflow attempt
     19 466	PROTOCOL-ICMP L3retriever Ping
     18 279	SERVER-OTHER Bay/Nortel Nautica Marlin
     17 48339	PROTOCOL-VOIP Known SIP scanner User-Agent detected
     17 48323	PROTOCOL-VOIP Known SIP scanner User-Agent detected
     14 27210	SERVER-OTHER IPMI RAKP cipher zero remote authentication bypass attempt
     10 45941	SERVER-OTHER Memcached UDP version discovery attempt
     10 45117	SERVER-WEBAPP Huawei DeviceUpgrade command injection attempt
     10 1394	INDICATOR-SHELLCODE x86 inc ecx NOOP
      8 410	PROTOCOL-ICMP Fragment Reassembly Time Exceeded
      7 51214	SERVER-OTHER OpenSSL DTLS bad fragment length denial of service attempt
      6 46387	SERVER-OTHER Multiple Vendors NTP zero-origin timestamp denial of service attempt
      6 45906	MALWARE-CNC CobaltStrike DNS Beacon outbound A record
      4 2570	SERVER-WEBAPP invalid HTTP version string
      4 19769	MALWARE-CNC Win.Trojan.Yoddos outbound indicator
      3 3200	OS-WINDOWS Microsoft Windows WINS name query overflow attempt UDP
      3 1325	INDICATOR-SHELLCODE ssh CRC32 overflow filler
      2 8710	OS-WINDOWS Microsoft Windows NAT helper components udp denial of service attempt
      2 45907	MALWARE-CNC Cobalt Strike DNS beacon outbound TXT record
      2 427	PROTOCOL-ICMP Parameter Problem Unspecified Error
      2 372	PROTOCOL-ICMP PING Delphi-Piette Windows
      2 333	PROTOCOL-FINGER . query
      2 24814	PROTOCOL-SNMP Samsung printer default community string
      2 2114	PROTOCOL-SERVICES rexec password overflow attempt
      2 20336	PROTOCOL-VOIP To header format string attempt
      2 1257	SERVER-OTHER Winnuke attack
      1 65369	POLICY-OTHER Inbound SSH connection to non-standard port
      1 59597	SERVER-OTHER WolfSSL PSK extension buffer overflow attempt
      1 51127	SERVER-OTHER NetBIOS name request probe attempt
      1 51030	PROTOCOL-SCADA Sielco Sistemi Winlog Lite buffer overflow attempt
      1 50896	SERVER-OTHER NetSupport Manager client buffer overflow attempt
      1 50447	POLICY-OTHER HTTP request by IPv4 address attempt
      1 48349	PROTOCOL-VOIP Known SIP scanner User-Agent detected
      1 48318	PROTOCOL-VOIP Known SIP scanner User-Agent detected
      1 332	PROTOCOL-FINGER 0 query
      1 330	PROTOCOL-FINGER redirection attempt
      1 3196	OS-WINDOWS name query overflow attempt UDP
      1 3195	OS-WINDOWS name query overflow attempt TCP
      1 3154	PROTOCOL-DNS UDP inverse query overflow
      1 256	PROTOCOL-DNS named authors attempt
      1 247	MALWARE-OTHER mstream client to handler
      1 24304	PROTOCOL-DNS dead alive6 DNS attempt
      1 2417	PROTOCOL-FTP format string attempt
      1 21673	PROTOCOL-VOIP Digium Asterisk SCCP overly large mem copy attempt
      1 20396	PROTOCOL-VOIP INVITE flood attempt
      1 18767	PROTOCOL-TFTP Multiple TFTP product buffer overflow attempt
      1 17567	SERVER-OTHER LANDesk Management Suite Alerting Service buffer overflow attempt
      1 1378	PROTOCOL-FTP wu-ftp bad file completion attempt
      1 1377	PROTOCOL-FTP wu-ftp bad file completion attempt
      1 13586	APP-DETECT SSH server detected on non-standard port
      1 12197	SERVER-OTHER CA message queuing server buffer overflow attempt

=== Alerts | sorted by Classification ===
111096093 Misc activity
82971353 Information Leak
3420335 Attempted Information Leak
1025468 Attempted Denial of Service
 759549 Attempted Administrator Privilege Gain
 579431 Generic Protocol Command Decode
 186931 Detection of a Network Scan
 148530 Potentially Bad Traffic
  70196 Decode of an RPC Query
  22060 Potential Corporate Privacy Violation
  12642 Attempted User Privilege Gain
   4566 A Network Trojan was detected
   1964 Misc Attack
    661 Detection of a Denial of Service Attack
    277 Executable code was detected
    128 Detection of a non-standard protocol or event
     10 Web Application Attack
      1 A suspicious string was detected

=== Alerts | top 50 Destination Port ===
194076353 
 605490 161
 417399 5060
 279545 53
 187132 1900
 148746 69
 136997 500
 100056 1434
  70418 111
  62481 17185
  49167 4800
  39574 177
  38732 5632
  34866 162
  19976 32414
  16989 5070
  16075 520
  14495 53413
  13136 5080
  12616 9034
   9746 443
   6748 705
   5256 65476
   4607 16464
   3481 5061
   2670 7001
   2422 5062
   2178 5090
   1755 5093
   1741 5082
   1654 8081
   1643 5081
   1615 5064
   1598 5071
   1585 5075
   1561 5065
   1542 5077
   1541 5068
   1510 5072
   1504 5074
   1504 5073
   1488 5076
   1430 5063
   1417 445
   1414 5091
   1405 5078
   1394 5067
   1390 5099
   1386 5088
   1378 27034

=== Alerts | sorted by Protocol ===
194076353 ICMP
5248261 UDP
 974550 TCP
   1031 IP
